indicator_id,IndicatorName,Measure,How_Calculated,SourceName,SourceDescription
888,Children under 6 years with elevated blood lead levels by NTA,Rate  BLL>=5 µg/dL,"<p>Number of children under 6 years of age tested with blood lead levels (BLL) 5 mcg/dL or greater; divided by the total number of children under 6 years of age who were tested; expressed as cases per 1;000 tested. While children can receive more than one test during the calendar year; for this measure children are only counted once per year using the highest confirmed blood lead level during the calendar year. If the child does not have a confirmed test in a given year; the child&rsquo;s blood lead level is based on the highest capillary or unknown test type.&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/EPHTPDF/Childhood_Lead_Exposure_Definitions_June_2016.pdf"" target=""_blank"">Read more&nbsp;</a>about different measures used by the Health Department for surveillance of childhood lead poisoning.</p>",,
<ul>,,,,,
<li>For the purpose of providing data for small geographic areas; multiple years of data were combined to get sufficient numbers of observations to make more reliable estimates for a greater number of neighborhood tabulation areas (NTAs).&nbsp;</li>,,,,,
"<li>Annual numbers and rates of children under 6 years of age with elevated blood lead levels at the citywide; borough; and United Hospital Fund neighborhood level are available&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/VisualizationData.aspx?id=2184;4466a0;14;Summarize"">here</a>. &nbsp;&nbsp;</li>",,,,,
</ul>,,,,,
"<p><a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/EPHTPDF/Childhood_Lead_Exposure_Definitions_June_2016.pdf"" target=""_blank"">&nbsp;</a></p>",NYC Healthy Homes Program,New York City Healthy Homes Program,,,
47,Adults Reporting Secondhand Smoke at Home,Percent,<p>Estimated number of adults in an area exposed to second-hand smoke at home; divided by all adults in the area; expressed as percent.</p>,,
<p>&nbsp;</p>,,,,,
<p><span>Adults who are exposed to second-hand smoke all or most of the time in their homes are considered to be exposed to second-hand smoke at home.&nbsp;</span></p>,NYC CHS,New York City Community Health Survey (CHS),,,
307,Cigarette Smoking among Adults,Percent,Estimated number of adults in an area who report current; active smoking; divided by all adults in the area; expressed as percent.,,
,,,,,
,,,,,
,NYC CHS,New York City Community Health Survey (CHS),,,
311,Cigarette Smoking among Youths,Percent,Estimated number of high school students who smoked cigarettes on one or more of the past 30 days; divided by total number of high school students; expressed as a percent.,NYC YRBS,New York City Youth Risk Behavioral Survey
